City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.49,75,86,16.56,TF,1714386883
1,blackmans bay,-43.0167,147.3167,8.07,62,14,0.45,AU,1714386883
2,iqaluit,63.7506,-68.5145,-10.15,67,75,2.06,CA,1714386884
3,ushuaia,-54.8,-68.3,-0.19,80,0,1.54,AR,1714386884
4,kerikeri,-35.2268,173.9474,14.39,91,78,1.96,NZ,1714386884
5,rosetta,31.4044,30.4164,21.09,64,2,5.73,EG,1714386885
6,yellowknife,62.456,-114.3525,-4.13,83,40,4.92,CA,1714386885
7,invercargill,-46.4,168.35,8.9,89,0,2.24,NZ,1714386885
8,grytviken,-54.2811,-36.5092,3.19,98,100,1.22,GS,1714386885
9,udachny,66.4167,112.4,-0.86,80,99,7.95,RU,1714386885
10,adamstown,-25.066,-130.1015,22.94,80,35,5.69,PN,1714386885
11,rio grande,-32.035,-52.0986,17.19,79,53,7.16,BR,1714386886
12,waitangi,-43.9535,-176.5597,11.57,77,35,2.23,NZ,1714386886
13,chaohu,31.6,117.8667,20.24,82,98,3.1,CN,1714386625
14,kingston,17.997,-76.7936,27.53,78,20,1.03,JM,1714386786
15,puerto baquerizo moreno,-0.9,-89.6,24.82,86,96,4.18,EC,1714386887
16,whitehorse,60.7161,-135.0538,1.43,86,75,2.06,CA,1714386887
17,khandyga,62.6667,135.6,-6.17,94,100,1.01,RU,1714386888
18,carutapera,-1.195,-46.02,26.05,87,75,2.26,BR,1714386888
19,isafjordur,66.0755,-23.124,4.02,75,75,1.03,IS,1714386888
20,palmer,42.1584,-72.3287,18.23,99,80,1.49,US,1714386888
21,longyearbyen,78.2186,15.6401,1.91,69,75,4.63,SJ,1714386888
22,burang,30.25,81.1667,2.75,77,83,3.96,CN,1714386889
23,wailua homesteads,22.0669,-159.378,23.44,88,40,5.14,US,1714386889
24,new yekepa,7.5794,-8.5378,32.58,46,26,0.44,LR,1714386889
25,albany,42.6001,-73.9662,17.04,96,100,2.63,US,1714386889
26,west island,-12.1568,96.8225,25.99,94,63,5.14,CC,1714386889
27,margaret river,-33.95,115.0667,17.95,42,100,4.18,AU,1714386890
28,thompson,55.7435,-97.8558,2.09,51,75,2.06,CA,1714386890
29,port mathurin,-19.6833,63.4167,26.62,76,64,8.53,MU,1714386890
30,villa emilio carranza,19.9667,-96.6,25.18,80,71,3.23,MX,1714386890
31,zomba,-15.386,35.3188,18.94,60,65,3.0,MW,1714386890
32,vila velha,-20.3297,-40.2925,23.86,88,0,1.34,BR,1714386891
